## dioPeriod = 1.0
## burstTimestamp = 20
## minRssi = -97
## numMotes = 100
## otfHousekeepingPeriod = 5.0
## _init = True
## sixtopNoRemoveWorstCell = 0
## simDataDir = simData
## numChans = 16
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## pkPeriod = 1.0
## sixtopHousekeepingPeriod = 1.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## startTime = 1513661476.71
## slotDuration = 0.1
## numRuns = 1
## combinationKeys = ['numMotes', 'otfThreshold']
## gui = True
## numPacketsBurst = 5
## otfThreshold = 1
## noInterference = 0
## slotLength = 3000


 #position of mote at runNum=0 mote id: 0 mote x,y coordinate: (1.00000,1.00000) mote-rank: None 
 mote id: 1 mote x,y coordinate: (0.32958,0.94704) mote-rank: 17216 
 mote id: 2 mote x,y coordinate: (0.18957,0.26258) mote-rank: 28050 
 mote id: 3 mote x,y coordinate: (1.07253,1.56777) mote-rank: 14653 
 mote id: 4 mote x,y coordinate: (1.05444,1.24771) mote-rank: 6492 
 mote id: 5 mote x,y coordinate: (0.31803,0.19964) mote-rank: 26918 
 mote id: 6 mote x,y coordinate: (0.76453,0.64702) mote-rank: 10862 
 mote id: 7 mote x,y coordinate: (0.44412,1.27234) mote-rank: 15846 
 mote id: 8 mote x,y coordinate: (1.47396,0.98852) mote-rank: 12136 
 mote id: 9 mote x,y coordinate: (1.08874,0.89027) mote-rank: 3612 
 mote id: 10 mote x,y coordinate: (1.37197,1.18581) mote-rank: 10644 
 mote id: 11 mote x,y coordinate: (0.06369,0.33375) mote-rank: 29418 
 mote id: 12 mote x,y coordinate: (0.75486,0.20684) mote-rank: 21252 
 mote id: 13 mote x,y coordinate: (1.55811,1.68764) mote-rank: 22671 
 mote id: 14 mote x,y coordinate: (0.46148,1.49477) mote-rank: 18721 
 mote id: 15 mote x,y coordinate: (1.07469,0.33681) mote-rank: 17084 
 mote id: 16 mote x,y coordinate: (0.31835,0.65406) mote-rank: 19568 
 mote id: 17 mote x,y coordinate: (1.96190,1.75768) mote-rank: 31346 
 mote id: 18 mote x,y coordinate: (1.02564,1.91863) mote-rank: 23526 
 mote id: 19 mote x,y coordinate: (0.36922,1.44655) mote-rank: 19784 
 mote id: 20 mote x,y coordinate: (0.21546,1.62725) mote-rank: 25714 
 mote id: 21 mote x,y coordinate: (0.61139,0.72532) mote-rank: 12182 
 mote id: 22 mote x,y coordinate: (0.87373,0.59464) mote-rank: 10869 
 mote id: 23 mote x,y coordinate: (0.01851,1.91407) mote-rank: 34335 
 mote id: 24 mote x,y coordinate: (1.40415,0.97360) mote-rank: 10368 
 mote id: 25 mote x,y coordinate: (1.59276,1.19087) mote-rank: 15941 
 mote id: 26 mote x,y coordinate: (0.18401,0.41440) mote-rank: 25711 
 mote id: 27 mote x,y coordinate: (1.21547,0.86628) mote-rank: 6491 
 mote id: 28 mote x,y coordinate: (1.03454,1.88405) mote-rank: 22648 
 mote id: 29 mote x,y coordinate: (1.87564,0.42337) mote-rank: 26840 
 mote id: 30 mote x,y coordinate: (1.32672,0.21508) mote-rank: 21765 
 mote id: 31 mote x,y coordinate: (0.59268,0.18096) mote-rank: 23417 
 mote id: 32 mote x,y coordinate: (0.15401,1.54341) mote-rank: 25740 
