## dioPeriod = 1.0
## startTime = 1513661710.05
## numMotes = 100
## otfHousekeepingPeriod = 5.0
## _init = True
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## slotDuration = 0.1
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## numRuns = 1
## otfThreshold = 4
## sixtopNoRemoveWorstCell = 0
## burstTimestamp = 20
## slotLength = 3000
## simDataDir = simData
## numChans = 16
## minRssi = -97
## noInterference = 0
## _instance = None
## numPacketsBurst = 5
## gui = True
## pkPeriod = 1.0
## combinationKeys = ['numMotes', 'otfThreshold']
## sixtopHousekeepingPeriod = 1.0


 #position of mote at runNum=0 mote id: 0 mote x,y coordinate: (1.00000,1.00000) mote-rank: None 
 mote id: 1 mote x,y coordinate: (0.10107,0.31977) mote-rank: 28858 
 mote id: 2 mote x,y coordinate: (1.19845,1.86978) mote-rank: 22838 
 mote id: 3 mote x,y coordinate: (0.70485,1.99393) mote-rank: 26542 
 mote id: 4 mote x,y coordinate: (1.83940,0.49068) mote-rank: 25135 
 mote id: 5 mote x,y coordinate: (1.54373,1.98105) mote-rank: 28714 
 mote id: 6 mote x,y coordinate: (1.44832,0.39731) mote-rank: 19229 
 mote id: 7 mote x,y coordinate: (1.52809,1.39276) mote-rank: 16848 
 mote id: 8 mote x,y coordinate: (0.24126,0.44581) mote-rank: 24053 
 mote id: 9 mote x,y coordinate: (0.01838,1.51318) mote-rank: 28356 
 mote id: 10 mote x,y coordinate: (0.51323,0.44175) mote-rank: 18961 
 mote id: 11 mote x,y coordinate: (1.25669,1.21143) mote-rank: 8513 
 mote id: 12 mote x,y coordinate: (0.74888,0.29078) mote-rank: 19260 
 mote id: 13 mote x,y coordinate: (0.18521,1.35623) mote-rank: 22765 
 mote id: 14 mote x,y coordinate: (0.74458,1.20073) mote-rank: 8316 
 mote id: 15 mote x,y coordinate: (0.84995,1.71451) mote-rank: 18690 
 mote id: 16 mote x,y coordinate: (0.72593,1.08781) mote-rank: 7367 
 mote id: 17 mote x,y coordinate: (1.09581,0.34667) mote-rank: 16904 
 mote id: 18 mote x,y coordinate: (0.37267,1.83594) mote-rank: 26755 
 mote id: 19 mote x,y coordinate: (0.21336,0.00692) mote-rank: 32432 
 mote id: 20 mote x,y coordinate: (1.66733,0.11349) mote-rank: 28405 
 mote id: 21 mote x,y coordinate: (1.16427,0.80493) mote-rank: 6528 
 mote id: 22 mote x,y coordinate: (1.98736,1.56264) mote-rank: 29092 
 mote id: 23 mote x,y coordinate: (0.18850,0.16136) mote-rank: 29874 
 mote id: 24 mote x,y coordinate: (0.09056,1.91013) mote-rank: 32937 
 mote id: 25 mote x,y coordinate: (1.52259,1.15264) mote-rank: 13937 
 mote id: 26 mote x,y coordinate: (0.90356,0.74557) mote-rank: 6965 
 mote id: 27 mote x,y coordinate: (0.53418,1.79101) mote-rank: 23500 
 mote id: 28 mote x,y coordinate: (0.52115,1.27597) mote-rank: 14148 
 mote id: 29 mote x,y coordinate: (0.47381,1.63291) mote-rank: 21070 
 mote id: 30 mote x,y coordinate: (1.07654,1.10409) mote-rank: 3307 
 mote id: 31 mote x,y coordinate: (1.75411,0.99223) mote-rank: 19306 
 mote id: 32 mote x,y coordinate: (1.11843,1.70374) mote-rank: 18269 
 mote id: 33 mote x,y coordinate: (0.48303,1.06202) mote-rank: 13329 
 mote id: 34 mote x,y coordinate: (1.33164,0.12520) mote-rank: 23950 
 mote id: 35 mote x,y coordinate: (0.73403,0.60035) mote-rank: 12289 
 mote id: 36 mote x,y coordinate: (0.01409,0.74782) mote-rank: 26051 
 mote id: 37 mote x,y coordinate: (1.41414,1.22671) mote-rank: 12086 
 mote id: 38 mote x,y coordinate: (1.42931,0.68811) mote-rank: 13584 
 mote id: 39 mote x,y coordinate: (1.62416,1.68088) mote-rank: 23646 
 mote id: 40 mote x,y coordinate: (1.09223,1.64954) mote-rank: 16795 
 mote id: 41 mote x,y coordinate: (0.45663,0.13155) mote-rank: 26225 
 mote id: 42 mote x,y coordinate: (0.93270,1.72791) mote-rank: 18714 
 mote id: 43 mote x,y coordinate: (0.51915,0.39184) mote-rank: 19847 
 mote id: 44 mote x,y coordinate: (1.30481,0.27233) mote-rank: 20196 
 mote id: 45 mote x,y coordinate: (0.47461,1.65681) mote-rank: 21532 
 mote id: 46 mote x,y coordinate: (0.50221,0.31240) mote-rank: 21731 
 mote id: 47 mote x,y coordinate: (1.54026,0.79912) mote-rank: 14755 
 mote id: 48 mote x,y coordinate: (1.34116,1.51607) mote-rank: 15837 
 mote id: 49 mote x,y coordinate: (0.22190,0.17437) mote-rank: 29043 
 mote id: 50 mote x,y coordinate: (0.16578,0.43820) mote-rank: 25747 
 mote id: 51 mote x,y coordinate: (0.47068,0.72732) mote-rank: 15242 
 mote id: 52 mote x,y coordinate: (1.68416,1.40212) mote-rank: 20315 
 mote id: 53 mote x,y coordinate: (0.34139,1.04725) mote-rank: 16903 
 mote id: 54 mote x,y coordinate: (0.34311,1.50750) mote-rank: 21250 
 mote id: 55 mote x,y coordinate: (0.89865,0.91888) mote-rank: 3323 
 mote id: 56 mote x,y coordinate: (1.96313,0.03700) mote-rank: 34866 
 mote id: 57 mote x,y coordinate: (1.52469,1.80222) mote-rank: 24539 
 mote id: 58 mote x,y coordinate: (1.68484,0.23421) mote-rank: 26300 
 mote id: 59 mote x,y coordinate: (1.51874,1.83360) mote-rank: 25134 
 mote id: 60 mote x,y coordinate: (1.66885,0.94172) mote-rank: 17187 
 mote id: 61 mote x,y coordinate: (1.51038,1.59650) mote-rank: 20097 
