## dioPeriod = 1.0
## burstTimestamp = 20
## minRssi = -97
## numMotes = 18
## otfHousekeepingPeriod = 5.0
## sixtopNoRemoveWorstCell = 0
## simDataDir = simData
## numChans = 16
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## pkPeriod = 1.0
## sixtopHousekeepingPeriod = 1.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## startTime = 1511942738.79
## slotDuration = 0.9
## numRuns = 2
## combinationKeys = ['numMotes', 'otfThreshold']
## gui = True
## numPacketsBurst = 5
## otfThreshold = 1
## noInterference = 0
## slotLength = 3000


# appGenerated appReachesDagroot appRelayed aveHops aveLatency aveQueueDelay awake chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs idle numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum scheduleCollisions sleep topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txQueueFill
            96                12          0   1.000     26.167        78.500   103       7197.820           0     0                       0                 0              0                0                0                    0   34         16    71         16     43         1                  0                17                  1            7      869      107      0                  0   660                   0                     0                   0          84
           189                30          0   1.000     45.833       324.300   192      16097.600           0     1                       0                 0              0                0                0                    0   70         16   160         16     74         1                  0                17                  1           19     1733      215      0                  0  1141                   0                     0                   0         159
           272                45          0   1.000     55.111       464.967   275      25019.320           0     2                      11                11              0                0               11                    0  100         16   251         16    105         1                  0                17                  1           29     2453      305      0                  0  1667                   0                     0                   0         205
           352                60          0   1.000     53.433       479.251   372      33762.200           0     3                      62                24              0                0               62                    0  135         16   340         16    135         1                  0                17                  1           39     3317      413      0                  0  2222                   0                     0                   0         206
           432                75          0   1.000     58.693       548.655   479      42505.080           0     4                     113                37              0                0              113                    0  169         16   429         16    165         1                  0                17                  1           45     4181      521      0                  0  2739                   0                     0                   0         207
           512                90          0   1.000     74.944       757.325   577      51297.160           0     5                     163                48              0                0              163                    0  213         16   518         16    195         1                  0                17                  1           47     4901      611      0                  0  3305                   0                     0                   0         211
           592               107          0   1.000     76.832       783.094   690      60144.640           0     6                     215                61              0                0              215                    0  259         16   607         16    224         1                  0                17                  1           53     5765      719      0                  0  3952                   0                     0                   0         209
           672               120          0   1.000     83.642       847.452   783      68896.940           0     7                     268                76              0                0              268                    0  293         16   697         16    254         1                  0                17                  1           57     6485      809      0                  0  4460                   0                     0                   0         208
           752               134          0   1.000     83.261       862.413   895      77587.520           0     8                     316                95              0                0              316                    0  334         16   786         16    283         1                  0                17                  1           61     7349      917      0                  0  5045                   0                     0                   0         207
           832               149          0   1.000     98.752      1122.826  1015      86265.580           0     9                     361               110              0                0              361                    0  376         16   874         16    313         1                  0                17                  1           65     8213     1025      0                  0  5682                   0                     0                   0         212
