## dioPeriod = 1.0
## burstTimestamp = 20
## minRssi = -97
## numMotes = 20
## otfHousekeepingPeriod = 5.0
## _init = True
## sixtopNoRemoveWorstCell = 0
## simDataDir = simData
## numChans = 16
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## pkPeriod = 1.0
## sixtopHousekeepingPeriod = 1.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## startTime = 1512045140.05
## slotDuration = 0.9
## numRuns = 2
## combinationKeys = ['numMotes', 'otfThreshold']
## gui = True
## numPacketsBurst = 5
## otfThreshold = 1
## noInterference = 0
## slotLength = 3000


# appGenerated appReachesDagroot appRelayed aveHops aveLatency aveQueueDelay awake chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs idle numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum scheduleCollisions sleep topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txQueueFill
            96                32          0   1.000     21.469       177.150   142       8243.820           0     0                       0                 0              0                0                0                    0   52         16    71         16     95         3                  0                19                  7           27     1030      120      0                  0   824                   0                     0                   0          64
           192                65          0   1.000     35.385       309.815   322      17928.100           0     1                       0                 0              0                0                0                    0  113         16   160         16    186         3                  0                19                  7           63     2059      240      0                  0  1422                   0                     0                   0         127
           272               103          0   1.000     41.456       380.244   475      28052.720           0     2                       8                 8              0                0                8                    0  168         16   251         16    277         3                  0                19                  7           93     2917      340      0                  0  2018                   0                     0                   0         153
           352               140          0   1.000     41.900       390.841   672      37946.200           0     3                      42                17              0                0               42                    0  246         16   340         16    369         3                  0                19                  7          123     3943      460      0                  0  2720                   0                     0                   0         153
           432               173          0   1.000     47.272       496.449   864      47436.020           0     4                      77                25              0                0               77                    0  320         16   426         16    457         3                  0                19                  7          152     4969      580      0                  0  3476                   0                     0                   0         157
           512               207          0   1.000     49.947       546.904  1073      57286.620           0     5                     113                33              0                0              113                    0  393         16   516         16    548         3                  0                19                  7          174     5824      680      0                  0  4396                   0                     0                   0         159
           592               246          0   1.000     53.553       599.597  1320      67219.880           0     6                     149                41              0                0              149                    0  492         16   604         16    636         3                  0                19                  7          198     6850      800      0                  0  5425                   0                     0                   0         156
           672               283          0   1.000     57.145       670.589  1502      77162.560           0     7                     183                52              0                0              183                    0  555         16   693         16    726         3                  0                19                  7          217     7705      900      0                  0  6250                   0                     0                   0         154
           752               320          0   1.000     60.328       723.446  1701      86991.220           0     8                     214                66              0                0              214                    0  634         16   781         16    816         3                  0                19                  7          238     8732     1020      0                  0  6989                   0                     0                   0         152
           832               356          0   1.000     61.851       752.919  1913      96702.760           0     9                     245                75              0                0              245                    0  713         16   868         16    906         3                  0                19                  7          256     9758     1140      0                  0  7769                   0                     0                   0         156
           912               389          0   1.000     63.391       788.067  2095     106436.240           0    10                     281                84              0                0              281                    0  786         16   957         16    995         3                  0                19                  7          273    10613     1240      0                  0  8482                   0                     0                   0         158
           992               427          0   1.000     66.623       842.036  2305     116317.200           0    11                     315                92              0                0              315                    0  860         16  1045         16   1085         3                  0                19                  7          291    11639     1360      0                  0  9195                   0                     0                   0         158
          1072               461          0   1.000     66.158       849.216  2493     126102.980           0    12                     351               101              0                0              351                    0  928         16  1134         16   1172         3                  0                19                  7          306    12494     1460      0                  0  9948                   0                     0                   0         159
          1152               495          0   1.000     71.073       916.128  2684     135645.100           0    13                     386               109              0                0              386                    0  999         16  1220         16   1262         3                  0                19                  7          321    13520     1580      0                  0 10678                   0                     0                   0         162
          1232               533          0   1.000     74.923       949.945  2896     145526.060           0    14                     419               117              0                0              419                    0 1068         16  1308         16   1352         3                  0                19                  7          339    14550     1700      0                  0 11419                   0                     0                   0         163
          1312               572          0   1.000     78.346       978.865  3063     155573.340           0    15                     454               127              0                0              454                    0 1142         16  1397         16   1441         3                  0                19                  7          352    15410     1800      0                  0 12138                   0                     0                   0         159
          1392               603          0   1.000     78.395       989.789  3149     165023.380           0    16                     492               140              0                0              492                    0 1173         16  1484         16   1531         3                  0                19                  7          367    16442     1920      0                  0 12481                   0                     0                   0         157
          1472               638          0   1.000     79.458      1005.599  3231     174772.040           0    17                     527               150              0                0              527                    0 1194         16  1572         16   1618         3                  0                19                  7          380    17302     2020      0                  0 12823                   0                     0                   0         157
          1552               673          0   1.000     80.721      1024.027  3417     184585.520           0    18                     558               159              0                0              558                    0 1258         16  1661         16   1709         3                  0                19                  7          397    18334     2140      0                  0 13494                   0                     0                   0         162
          1632               707          0   1.000     81.499      1038.468  3601     194192.460           0    19                     595               168              0                0              595                    0 1322         16  1748         16   1798         3                  0                19                  7          410    19361     2260      0                  0 14232                   0                     0                   0         162
          1712               743          0   1.000     83.837      1060.728  3925     204018.020           0    20                     630               177              0                0              630                    0 1452         16  1836         16   1887         3                  0                19                  7          421    20216     2360      0                  0 15622                   0                     0                   0         162
          1808               777          0   1.000     83.963      1069.638  4424     213624.960           0    21                     677               186              0                0              677                    0 1631         16  1923         16   1977         3                  0                19                  7          432    21242     2480      0                  0 18085                   0                     0                   0         168
          1888               812          0   1.000     85.207      1085.391  4914     223284.200           0    22                     713               194              0                0              713                    0 1825         16  2010         16   2071         3                  0                19                  7          443    22268     2600      0                  0 20433                   0                     0                   0         169
          1968               843          0   1.000     85.460      1099.990  5297     232977.900           0    23                     751               205              0                0              751                    0 1981         16  2100         16   2160         3                  0                19                  7          454    23123     2700      0                  0 22381                   0                     0                   0         169
          2048               877          0   1.000     86.925      1121.351  5496     242584.840           0    24                     784               218              0                0              784                    0 2057         16  2187         16   2249         3                  0                19                  7          464    24149     2820      0                  0 23094                   0                     0                   0         169
          2128               917          0   1.000     89.846      1159.470  5690     252749.240           0    25                     816               228              0                0              816                    0 2127         16  2277         16   2342         3                  0                19                  7          475    25004     2920      0                  0 23825                   0                     0                   0         167
          2208               948          0   1.000     89.989      1167.562  5886     262199.280           0    26                     854               237              0                0              854                    0 2184         16  2364         16   2431         3                  0                19                  7          485    26030     3040      0                  0 24515                   0                     0                   0         169
          2288               988          0   1.000     91.340      1185.405  5967     272249.660           0    27                     890               245              0                0              890                    0 2207         16  2453         16   2520         3                  0                19                  7          492    27056     3160      0                  0 24788                   0                     0                   0         165
          2368              1025          0   1.000     92.272      1196.837  6118     282192.340           0    28                     926               254              0                0              926                    0 2261         16  2542         16   2608         3                  0                19                  7          499    27911     3260      0                  0 25408                   0                     0                   0         163
          2448              1056          0   1.000     92.973      1204.885  6301     291512.740           0    29                     961               263              0                0              961                    0 2322         16  2627         16   2698         3                  0                19                  7          510    28937     3380      0                  0 26072                   0                     0                   0         168
