moteid timeslot channel
0 0 38
0 1 38
0 2 18
0 3 37
0 4 45
0 5 38
0 7 1
0 8 2
0 9 3
0 10 4
0 11 5
0 12 6
0 13 7
0 14 8
0 15 9
0 16 10
0 17 11
0 18 12
0 19 13
0 20 14
0 21 15
0 22 16
0 23 17
0 24 20
0 25 21
0 26 22
0 27 23
0 28 24
0 29 25
0 30 26
0 31 27
0 32 28
0 33 30
0 34 31
0 35 32
0 36 33
0 37 34
0 38 35
0 39 39
0 40 40
0 41 42
0 42 43
0 43 44
0 44 46
0 45 47
0 46 49
0 47 45
0 48 37
0 49 18
0 50 38
1 7 1
2 8 2
3 9 3
4 10 4
5 11 5
6 12 6
7 13 7
8 14 8
9 15 9
10 16 10
11 17 11
12 18 12
13 19 13
14 20 14
15 21 15
16 22 16
17 23 17
18 49 18
18 2 18
19 2 19
20 24 20
21 25 21
22 26 22
23 27 23
24 28 24
25 29 25
26 30 26
27 31 27
28 32 28
29 0 29
30 33 30
31 34 31
32 35 32
33 36 33
34 37 34
35 38 35
36 3 36
37 48 37
37 0 29
37 3 37
38 0 38
38 1 38
38 2 19
38 3 36
38 4 41
38 5 38
38 50 38
39 39 39
40 40 40
41 4 41
42 41 42
43 42 43
44 43 44
45 0 48
45 4 45
45 47 45
46 44 46
47 45 47
48 0 48
49 46 49
