cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 24.6 1 0 0 0 0 0 1 0 0 4 4 0
2 502.06 24.6 1 0 0 0 0 0 1 5.0 3 4 4 0
3 631.7 123.0 1 0 0 0 0 0 5 41.6 5 4 4 0
4 631.7 221.39999999999998 1 0 0 0 0 0 9 41.6 5 4 4 0
5 631.7 319.8 2 0 0 0 0 0 13 41.6 5 4 4 0
6 1133.76 319.8 2 0 0 0 0 0 13 28.375 8 4 4 0
7 1263.3999999999999 418.2000000000001 2 0 0 0 0 0 17 42.0 10 4 4 0
8 1263.3999999999999 516.6000000000001 2 0 0 0 0 0 21 42.0 10 4 4 0
9 1263.3999999999999 615.0000000000002 2 0 0 0 0 0 25 42.0 10 4 4 0
10 1263.3999999999999 713.4000000000003 2 0 0 0 0 0 29 42.0 10 4 4 0
11 1263.3999999999999 811.8000000000004 2 0 0 0 0 0 33 42.0 10 4 4 0
12 1263.3999999999999 910.2000000000005 2 0 0 0 0 0 37 42.0 10 4 4 0
13 1263.3999999999999 1008.6000000000006 2 0 0 0 0 0 41 42.0 10 4 4 0
14 1263.3999999999999 1107.0000000000002 2 0 0 0 0 0 45 42.0 10 4 4 0
15 1263.3999999999999 1205.3999999999999 2 0 0 0 0 0 49 42.0 10 4 4 0
16 1263.3999999999999 1303.7999999999995 2 0 0 0 0 0 53 42.0 10 4 4 0
17 1263.3999999999999 1402.1999999999991 2 0 0 0 0 0 57 42.0 10 4 4 0
18 1263.3999999999999 1500.5999999999988 2 0 0 0 0 0 61 42.0 10 4 4 0
19 1263.3999999999999 1598.9999999999984 2 0 0 0 0 0 65 42.0 10 4 4 0
20 1263.3999999999999 1697.399999999998 2 0 0 0 0 0 69 42.0 10 4 4 0
21 1263.3999999999999 1795.7999999999977 2 0 0 0 0 0 73 42.0 10 4 4 0
22 1263.3999999999999 1894.1999999999973 2 0 0 0 0 0 77 42.0 10 4 4 0
23 1263.3999999999999 1992.599999999997 2 0 0 0 0 0 81 42.0 10 4 4 0
24 1263.3999999999999 2090.999999999997 2 0 0 0 0 0 85 42.0 10 4 4 0
25 1263.3999999999999 2189.3999999999965 2 0 0 0 0 0 89 42.0 10 4 4 0
26 1263.3999999999999 2287.799999999996 2 0 0 0 0 0 93 42.0 10 4 4 0
27 1263.3999999999999 2386.1999999999957 2 0 0 0 0 0 97 42.0 10 4 4 0
28 1263.3999999999999 2484.5999999999954 2 0 0 0 0 0 101 42.0 10 4 4 0
29 1263.3999999999999 2582.999999999995 2 0 0 0 0 0 105 42.0 10 4 4 0
30 1263.3999999999999 2681.3999999999946 2 0 0 0 0 0 109 42.0 10 4 4 0
31 1263.3999999999999 2779.7999999999943 2 0 0 0 0 0 113 42.0 10 4 4 0
32 1263.3999999999999 2878.199999999994 2 0 0 0 0 0 117 42.0 10 4 4 0
33 1263.3999999999999 2976.5999999999935 2 0 0 0 0 0 121 42.0 10 4 4 0
34 1263.3999999999999 3074.999999999993 2 0 0 0 0 0 125 42.0 10 4 4 0
35 1263.3999999999999 3173.399999999993 2 0 0 0 0 0 129 42.0 10 4 4 0
36 1263.3999999999999 3271.7999999999925 2 0 0 0 0 0 133 42.0 10 4 4 0
