## dioPeriod = 1.0
## startTime = 1513661946.72
## numMotes = 100
## otfHousekeepingPeriod = 5.0
## _init = True
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## slotDuration = 0.1
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## numRuns = 1
## otfThreshold = 8
## sixtopNoRemoveWorstCell = 0
## burstTimestamp = 20
## slotLength = 3000
## simDataDir = simData
## numChans = 16
## minRssi = -97
## noInterference = 0
## _instance = None
## numPacketsBurst = 5
## gui = True
## pkPeriod = 1.0
## combinationKeys = ['numMotes', 'otfThreshold']
## sixtopHousekeepingPeriod = 1.0


 #position of mote at runNum=0 mote id: 0 mote x,y coordinate: (1.00000,1.00000) mote-rank: None 
 mote id: 1 mote x,y coordinate: (0.75122,0.81551) mote-rank: 7928 
 mote id: 2 mote x,y coordinate: (1.21472,0.29596) mote-rank: 18842 
 mote id: 3 mote x,y coordinate: (0.37684,0.36555) mote-rank: 22766 
 mote id: 4 mote x,y coordinate: (0.55407,1.63213) mote-rank: 19803 
 mote id: 5 mote x,y coordinate: (1.87414,1.18235) mote-rank: 22859 
 mote id: 6 mote x,y coordinate: (0.09940,0.01463) mote-rank: 34174 
 mote id: 7 mote x,y coordinate: (0.37377,0.86411) mote-rank: 16404 
 mote id: 8 mote x,y coordinate: (1.08127,1.83659) mote-rank: 21517 
 mote id: 9 mote x,y coordinate: (0.14107,1.61678) mote-rank: 27070 
 mote id: 10 mote x,y coordinate: (1.72636,0.80554) mote-rank: 19249 
 mote id: 11 mote x,y coordinate: (1.59887,1.27627) mote-rank: 16883 
 mote id: 12 mote x,y coordinate: (1.64143,1.42743) mote-rank: 19732 
 mote id: 13 mote x,y coordinate: (0.10362,0.66414) mote-rank: 24505 
 mote id: 14 mote x,y coordinate: (0.42371,0.69856) mote-rank: 16649 
 mote id: 15 mote x,y coordinate: (1.58656,1.18435) mote-rank: 15740 
 mote id: 16 mote x,y coordinate: (1.83974,1.12392) mote-rank: 21730 
 mote id: 17 mote x,y coordinate: (1.84820,1.40906) mote-rank: 24107 
 mote id: 18 mote x,y coordinate: (0.83939,1.17999) mote-rank: 6175 
 mote id: 19 mote x,y coordinate: (1.78740,1.18033) mote-rank: 20679 
 mote id: 20 mote x,y coordinate: (0.28767,1.64094) mote-rank: 24530 
 mote id: 21 mote x,y coordinate: (0.35156,1.90838) mote-rank: 28571 
 mote id: 22 mote x,y coordinate: (0.38831,0.62572) mote-rank: 18357 
 mote id: 23 mote x,y coordinate: (0.50134,1.37477) mote-rank: 15968 
 mote id: 24 mote x,y coordinate: (0.25429,1.02538) mote-rank: 19101 
 mote id: 25 mote x,y coordinate: (1.16737,1.47282) mote-rank: 12840 
 mote id: 26 mote x,y coordinate: (1.37276,1.72384) mote-rank: 20843 
 mote id: 27 mote x,y coordinate: (0.57420,1.56026) mote-rank: 18014 
 mote id: 28 mote x,y coordinate: (1.86217,0.27651) mote-rank: 28813 
 mote id: 29 mote x,y coordinate: (0.53065,1.80918) mote-rank: 23947 
 mote id: 30 mote x,y coordinate: (0.98854,1.46418) mote-rank: 11886 
 mote id: 31 mote x,y coordinate: (0.75311,1.29153) mote-rank: 9779 
 mote id: 32 mote x,y coordinate: (0.80480,0.97866) mote-rank: 5026 
 mote id: 33 mote x,y coordinate: (0.71096,1.28623) mote-rank: 10413 
 mote id: 34 mote x,y coordinate: (1.05088,0.88455) mote-rank: 3229 
 mote id: 35 mote x,y coordinate: (1.93077,0.97933) mote-rank: 23833 
 mote id: 36 mote x,y coordinate: (1.18507,0.50232) mote-rank: 13593 
 mote id: 37 mote x,y coordinate: (1.06856,0.82560) mote-rank: 4797 
 mote id: 38 mote x,y coordinate: (0.23076,0.93265) mote-rank: 19767 
 mote id: 39 mote x,y coordinate: (0.97894,0.33414) mote-rank: 17054 
 mote id: 40 mote x,y coordinate: (0.28077,0.95202) mote-rank: 18453 
 mote id: 41 mote x,y coordinate: (1.46177,1.45946) mote-rank: 16676 
 mote id: 42 mote x,y coordinate: (1.67806,1.41618) mote-rank: 20367 
 mote id: 43 mote x,y coordinate: (0.66318,0.17487) mote-rank: 22815 
 mote id: 44 mote x,y coordinate: (1.26020,1.15353) mote-rank: 7734 
 mote id: 45 mote x,y coordinate: (1.64458,0.58561) mote-rank: 19616 
 mote id: 46 mote x,y coordinate: (1.92504,1.53255) mote-rank: 27325 
 mote id: 47 mote x,y coordinate: (0.16731,0.29219) mote-rank: 27977 
 mote id: 48 mote x,y coordinate: (0.77945,0.11693) mote-rank: 23301 
 mote id: 49 mote x,y coordinate: (1.73112,0.72023) mote-rank: 20040 
 mote id: 50 mote x,y coordinate: (1.77765,1.21183) mote-rank: 20633 
 mote id: 51 mote x,y coordinate: (0.51107,1.58651) mote-rank: 19547 
 mote id: 52 mote x,y coordinate: (0.64023,0.64375) mote-rank: 12961 
