moteid timeslot channel
0 0 85
0 1 85
0 2 31
0 3 32
0 4 34
0 5 85
0 6 37
0 7 44
0 8 71
0 9 87
0 10 34
0 11 32
0 12 31
0 13 85
0 15 1
0 16 2
0 17 3
0 18 4
0 19 5
0 20 7
0 21 8
0 22 10
0 23 11
0 24 12
0 25 13
0 26 14
0 27 15
0 28 16
0 29 17
0 30 18
0 31 19
0 32 20
0 33 22
0 34 23
0 35 24
0 36 25
0 37 26
0 38 27
0 39 29
0 40 30
0 41 33
0 42 35
0 43 36
0 44 38
0 45 39
0 46 40
0 47 41
0 48 42
0 49 43
0 50 45
0 51 48
0 52 49
0 53 50
0 54 51
0 55 52
0 56 53
0 57 54
0 58 55
0 59 57
0 60 58
0 61 59
0 62 60
0 63 61
0 64 62
0 65 65
0 66 66
0 67 67
0 68 68
0 69 69
0 70 72
0 71 73
0 72 74
0 73 75
0 74 77
0 75 78
0 76 79
0 77 80
0 78 81
0 79 82
0 80 83
0 81 84
0 82 86
0 83 89
0 84 90
0 85 91
0 86 92
0 87 93
0 88 94
0 89 95
0 90 96
0 91 98
0 92 99
0 93 87
0 94 71
0 95 44
0 96 37
0 97 31
0 98 32
0 99 34
1 15 1
2 16 2
3 17 3
4 18 4
5 19 5
6 0 6
7 20 7
8 21 8
9 2 9
10 22 10
11 23 11
12 24 12
13 25 13
14 26 14
15 27 15
16 28 16
17 29 17
18 30 18
19 31 19
20 32 20
21 3 21
22 33 22
23 34 23
24 35 24
25 36 25
26 37 26
27 38 27
28 0 28
29 39 29
30 40 30
31 0 56
31 97 31
31 2 31
31 12 31
31 1 64
32 3 32
32 1 63
32 98 32
32 11 32
32 0 47
33 41 33
34 0 76
34 1 97
34 10 34
34 99 34
34 4 34
35 42 35
36 43 36
37 96 37
37 0 28
37 6 37
38 44 38
39 45 39
40 46 40
41 47 41
42 48 42
43 49 43
44 0 46
44 7 44
44 95 44
45 50 45
46 0 46
47 0 47
48 51 48
49 52 49
50 53 50
51 54 51
52 55 52
53 56 53
54 57 54
55 58 55
56 0 56
57 59 57
58 60 58
59 61 59
60 62 60
61 63 61
62 64 62
63 1 63
64 1 64
65 65 65
66 66 66
67 67 67
68 68 68
69 69 69
70 4 70
71 8 71
71 0 6
71 94 71
72 70 72
73 71 73
74 72 74
75 73 75
76 0 76
77 74 77
78 75 78
79 76 79
80 77 80
81 78 81
82 79 82
83 80 83
84 81 84
85 0 85
85 1 85
85 2 9
85 3 21
85 4 70
85 5 85
85 6 88
85 13 85
86 82 86
87 9 87
87 93 87
88 6 88
89 83 89
90 84 90
91 85 91
92 86 92
93 87 93
94 88 94
95 89 95
96 90 96
97 1 97
98 91 98
99 92 99
